text_id,text
text287,"Nende kasvava tähtsusega üldiseks oskuseks on strateegilise planeerimise oskus, kontseptuaalne mõtlemisoskus, suhtlemisoskus ja valdkondlike õigusaktide tundmine ning IKT-lahenduste rakendamine. "
text288,"Müügi- ja ostujuhtidel on eriti tähtsal kohal üldised oskused ja teadmised. Kasvava tähtsusega üldisteks oskusteks on võõrkeelte valdamine, riskide juhtimine, logistika põhimõtete tundmine ja strateegiline ladude planeerimise oskus, meeskonnatöö oskus ning järjest kasvav valdkonnaspetsiifiliste IKT-lahenduste tellimise  ja rakendamise oskus."
text289,Puidu- ja mööblitööstuse müügi- ja ostujuhtidel jääb puudu eksportturgude kultuuri tundmisest ja vahetust suhtlemisoskusest välisturgudel. Täiendamist vajavad valdkonnaspetsiifiliste IKT-lahenduste tellimise ja rakendamise oskus ning selge ja korrektne eesti keel.
text290,"Nende kasvava tähtsusega üldisteks oskusteks ja hoiakuteks on analüüsivõime, ruumiline mõtlemine, planeerimise oskus, finantside lugemisoskus ja eelarvestamine , ajajuhtimine, suhtlemisoskus ja töötamine inimestega ning kirjutamine ja raporteerimine."
text291,"Nende kasvava tähtsusega üldiseks oskuseks on strateegilise planeerimise oskus, kontseptuaalne mõtlemisoskus, suhtlemisoskus ja valdkondlike õigusaktide tundmine ning IKT-lahenduste rakendamine. "
text292,"Forvarderioperaatori kasvava tähtsusega erialasteks oskusteks on oskus forvarderiga ergonoomiliselt sõita ja töötada hüdrotõstukiga, hinnata laaditud ja ladustatud puidu kogust ning tunda puidurikkeid, vedada bioenergeetika toorainet, mis on veidi erinev tavapärasest ümarpuidu kokkuveost, hooldada masinat igapäevaselt ning sooritada töövõtteid ohutult ja turvaliselt."
text293,"Forvarderioperaatoritel jääb puudu elektriskeemi lugemise oskustest juhtmekatkestuste välja selgitamiseks, sortimentide ja puidurikete tundmisest, koormasse laaditud puidu mahu hindamise ja virnatäiuse koefitsiendi määramise oskusest ning väiksemate remonttööde tegemiseks masina mehhaanika tundmisest, aga ka efektiivsete ja ergonoomiliste töövõtete ning IKT-lahenduste rakendamisest (vanema põlvkonna töötajatel)."
text294,"Puudu jääb koormasse laaditud puidu mahu hindamise  ja virnatäiuse koefitsiendi määramise oskusest, puidurikete tundmisest, IKT-lahenduste (nutikad pardaarvutid, e-veoselehed, navigeerimine ehk oskus sõita koordinaatide järgi)  ning efektiivsete ja ergonoomiliste töövõtete rakendamisest."
text295,"Nende kasvava tähtsusega üldiseks oskuseks on strateegilise planeerimise oskus, kontseptuaalne mõtlemisoskus, suhtlemisoskus ja valdkondlike õigusaktide tundmine ning IKT-lahenduste rakendamine. "
text296,"Arboristi kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tööohutus ja -turvalisus, ökoloogia ja diagnostika, töötamine tõstukitelt ja tööplatvormidelt , võsa- ja kettsaega töötamine ja saele esmase hoolduse tegemine. Suureneb nutiseadmete ja IKT-lahenduste kasutamine."
text297,Suureneb nutiseadmete ja IKT-lahenduste kasutamine.
text298,"Harvesterioperaatoritel jääb puudu elektriskeemi lugemise oskustest juhtmekatkestuste välja selgitamiseks, sortimentide ja puidurikete tundmisest, kalibreerimise ja järkamisfaili koostamise oskusest, väiksemate remonttööde tegemiseks masina mehhaanika tundmisest ja rikete tuvastamise oskusest, IKT-lahenduste (eriti vanema põlvkonna töötajatel) ning efektiivsete ja ergonoomiliste töövõtete rakendamisest."
text299,"Forvarderioperaatoritel jääb puudu elektriskeemi lugemise oskustest juhtmekatkestuste välja selgitamiseks, sortimentide ja puidurikete tundmisest, koormasse laaditud puidu mahu hindamise ja virnatäiuse koefitsiendi määramise oskusest ning väiksemate remonttööde tegemiseks masina mehhaanika tundmisest, aga ka efektiivsete ja ergonoomiliste töövõtete ning IKT-lahenduste rakendamisest (vanema põlvkonna töötajatel)."
text300,"Metsaveo ja puiduhakkuri veokijuhtide kasvava tähtsusega oskusteks on hüdrotõstukiga töötamine, oskus tagurdada kitsal metsateel, puidu sortimentide ja puidurikete tundmine, IKT-lahenduste rakendamine (nutikad pardaarvutid, e-veoselehed, navigeerimine ehk sõitmine koordinaatide järgi) ja võime sooritada töövõtteid ohutult, turvaliselt ning ergonoomiliselt. "
text301,"Puudu jääb koormasse laaditud puidu mahu hindamise  ja virnatäiuse koefitsiendi määramise oskusest, puidurikete tundmisest, IKT-lahenduste (nutikad pardaarvutid, e-veoselehed, navigeerimine ehk oskus sõita koordinaatide järgi)  ning efektiivsete ja ergonoomiliste töövõtete rakendamisest."
text302,"Puitkonstruktsioonide projekteerijate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on toodete, sh puitmajade projekteerimise eripärade tundmine, puitmaterjali eripärade ja materjalitehnoloogia tundmine, tööprotsesside tundmine, jooniste koostamine ja konstrueerimine, jooniste lugemise oskus nii käsitsi kui arvutil, CNC töötlemiskeskustele programmide koostamine, toodete projekteerimine, joonestamise ja projekteerimistarkvaraga töötamine, sh targa tellija kompetents – milline tarkvara, milliseks lahenduseks ja milliste tingimustega sobib, millised kulutused on efektiivsed  ning millist infot süsteemist koguda tasub."
text303,"Tootearendajate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on puitmaterjali eripärade ja materjalitehnoloogia tundmine, tootmistehnoloogia tundmine, joonestamine ja projekteerimine, sh CAD-CAM-i, MathCAD-i ja 3D projekteerimine."
text304,"Olulised on teadmised tugevusarvutustest ja matemaatikast, mehhanismidest, tööstustehnoloogiast, erialastest IKT-lahendustest — raalprojekteerimise ja muu tarkvara, sh majandustarkvara kasutamise oskus, CNC töötlemiskeskustele programmide koostamine ja targa tellija kompetents ehk teadmised selle kohta, milline tarkvara, milliseks lahenduseks ja milliste tingimustega sobib, samuti millised kulutused on efektiivsed ning millist infot süsteemist koguda tasub."
text305,"Tehnoloogi, sh mööblitoodete tehnoloogi kasvava tähtsusega erialasteks oskusteks ja teadmisteks on oma valdkonna toodete tootearenduse tehniliste eripärade tundmine, puitmaterjali eripärade ja materjalitehnoloogia tundmine, tööprotsesside tundmine, jooniste koostamine ja konstrueerimine, jooniste lugemise oskus nii käsitsi kui arvutil  ning joonestamise ja projekteerimistarkvaraga töötamine."
text306,"Tehnik-joonestajate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on toodete, sh puitmajade projekteerimise eripärade tundmine, puitmaterjali eripärade ja materjalitehnoloogia tundmine, tööprotsesside tundmine, jooniste koostamine ja konstrueerimine, jooniste lugemise oskus (nii käsitsi kui arvutil joonistatud ) ning joonestamise ja projekteerimistarkvaraga töötamine."
text307,Puudu jääb jooniste koostamise ja konstrueerimise  ning joonestamise ja projekteerimistarkvaraga töötamise oskusest.
text308,"Tootmisseadmete tehnikute kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tootmismasinate, -protsesside, -automaatika, -süsteemide, -liinide ja robotite seadistamine, töös hoidmine, hooldamine ja programmeerimine, lõikeriistade teritustehnoloogiate tundmine, elektrivoolu jooniste lugemise oskus, erialaste IKT-lahenduste kasutamine, sh programmide ja masinatega seotud patenditud seadmete kasutamise reeglite tundmine."
text309,Üldistest oskustest ja hoiakutest on kasva tähtsusega IKT-lahenduste kasutamine ja rutiinitaluvus.
text310,"Üldistest teadmistest, oskustest ja hoiakutest jätavad soovida kohuse ja vastutustunne ja erialaste IKT-lahenduste kasutamine  –programmide kirjutamise oskus  (programmeerimine), teadmised matemaatikast, läbirääkimiste oskus ja ettevõtlikkus."
text311,"Nende kasvava tähtsusega üldiseks oskuseks on strateegilise planeerimise oskus, kontseptuaalne mõtlemisoskus, suhtlemisoskus ja valdkondlike õigusaktide tundmine ning IKT-lahenduste rakendamine. "
text312,"Arboristi kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tööohutus ja -turvalisus, ökoloogia ja diagnostika, töötamine tõstukitelt ja tööplatvormidelt , võsa- ja kettsaega töötamine ja saele esmase hoolduse tegemine. Suureneb nutiseadmete ja IKT-lahenduste kasutamine."
text313,"Raietöölise kasvava tähtsusega erialasteks oskusteks on võsa- ja kettsae kasutamine ning hooldamine, tööohutus ja -turvalisus, sh töö- ja turvavahendite kasutamine ning ergonoomiliste töövõtete kasutamine."
text314,"Harvesterioperaatori kasvava tähtsusega erialasteks oskusteks on võime iseseisvalt valida langetatavad puud, oskus harvesteriga ergonoomiliselt sõita, kalibreerida harvesteri mõõtmissüsteeme, tunda puidurikkeid, ohjata tarka masinat, teha masina igapäevast hooldust, kasutada võsagiljotiini (bioenergeetika seade) ning sooritada töövõtteid ohutult ja turvaliselt."
text315,"Forvarderioperaatori kasvava tähtsusega erialasteks oskusteks on oskus forvarderiga ergonoomiliselt sõita ja töötada hüdrotõstukiga, hinnata laaditud ja ladustatud puidu kogust ning tunda puidurikkeid, vedada bioenergeetika toorainet, mis on veidi erinev tavapärasest ümarpuidu kokkuveost, hooldada masinat igapäevaselt ning sooritada töövõtteid ohutult ja turvaliselt."
text316,"Metsaveo ja puiduhakkuri veokijuhtide kasvava tähtsusega oskusteks on hüdrotõstukiga töötamine, oskus tagurdada kitsal metsateel, puidu sortimentide ja puidurikete tundmine, IKT-lahenduste rakendamine (nutikad pardaarvutid, e-veoselehed, navigeerimine ehk sõitmine koordinaatide järgi) ja võime sooritada töövõtteid ohutult, turvaliselt ning ergonoomiliselt. "
text317,"Üldistest oskustest ja hoiakutest on puudu teadmistest töö efektiivsemaks muutmise võimalustest, materjali efektiivsest kasutamisest, planeerimise oskusest ja ajajuhtimisest, suhtlemisoskusest, meeskonnatöö organiseerimisest ning tööohutusest ja töötervishoidust ning isikukaitsevahendite kasutamisest."
text318,"Tootmisseadmete tehnikute kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tootmismasinate, -protsesside, -automaatika, -süsteemide, -liinide ja robotite seadistamine, töös hoidmine, hooldamine ja programmeerimine, lõikeriistade teritustehnoloogiate tundmine, elektrivoolu jooniste lugemise oskus, erialaste IKT-lahenduste kasutamine, sh programmide ja masinatega seotud patenditud seadmete kasutamise reeglite tundmine."
text319,"Tootmisseadmete tehnikutel jääb puudu tootmismasinate ja -liinide seadistamise, töös hoidmise, hoolduse ja programmeerimise oskusest ning tööohutuse ja töötervishoiu ning isikukaitsevahendite kasutamise reeglite järgimisest."
text320,"Tislerite kasvava tähtsusega erialasteks oskusteks ja teadmisteks on jooniste ja tehnoloogiakaardi lugemise ning koostamise oskus, detailidele ja toodetele esitatavate kvaliteedinõuete tundmine ning materjalide tundmine."
text321,Tisleritel on puudu jooniste ja tehnoloogiakaardi lugemise ning koostamise oskusest ja teadmistest detailidele ja toodetele esitatavatest kvaliteedinõuetest.
text322,"Puitdetailide viimistlejate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on materjalide tundmine  ja säästlikult kasutamine, puidukuivatamine, aspiratsioon, arusaamine detailide ja toodete valmistamise ja viimistlemise tsüklist ning detailidele ja toodetele esitatavatest kvaliteedinõuetest, mõistmine, mida tehti enne, kui detail või toode viimistlusse läheb."
text323,"Ta töötab meeskonna liikmena, jälgib tööprotsessist kinnipidamist, tootlikkust, hoiab toodangu kvaliteeti ning järgib töö- ja keskkonnaohutuse nõudeid."
text324,Vähesed on oskused puiduvarumise korraldamise ja puidu mahu mõõtmise osas.
text325,"Üldistest oskustest ja hoiakutest on puudu teadmistest töö efektiivsemaks muutmise võimalustest, materjali efektiivsest kasutamisest, planeerimise oskusest ja ajajuhtimisest, suhtlemisoskusest, meeskonnatöö organiseerimisest ning tööohutusest ja töötervishoidust ning isikukaitsevahendite kasutamisest."
text326,"Arboristi kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tööohutus ja -turvalisus, ökoloogia ja diagnostika, töötamine tõstukitelt ja tööplatvormidelt , võsa- ja kettsaega töötamine ja saele esmase hoolduse tegemine. Suureneb nutiseadmete ja IKT-lahenduste kasutamine."
text327,"Raietöölise kasvava tähtsusega erialasteks oskusteks on võsa- ja kettsae kasutamine ning hooldamine, tööohutus ja -turvalisus, sh töö- ja turvavahendite kasutamine ning ergonoomiliste töövõtete kasutamine."
text328,"Harvesterioperaatori kasvava tähtsusega erialasteks oskusteks on võime iseseisvalt valida langetatavad puud, oskus harvesteriga ergonoomiliselt sõita, kalibreerida harvesteri mõõtmissüsteeme, tunda puidurikkeid, ohjata tarka masinat, teha masina igapäevast hooldust, kasutada võsagiljotiini (bioenergeetika seade) ning sooritada töövõtteid ohutult ja turvaliselt."
text329,"Forvarderioperaatori kasvava tähtsusega erialasteks oskusteks on oskus forvarderiga ergonoomiliselt sõita ja töötada hüdrotõstukiga, hinnata laaditud ja ladustatud puidu kogust ning tunda puidurikkeid, vedada bioenergeetika toorainet, mis on veidi erinev tavapärasest ümarpuidu kokkuveost, hooldada masinat igapäevaselt ning sooritada töövõtteid ohutult ja turvaliselt."
text330,"Metsaveo ja puiduhakkuri veokijuhtide kasvava tähtsusega oskusteks on hüdrotõstukiga töötamine, oskus tagurdada kitsal metsateel, puidu sortimentide ja puidurikete tundmine, IKT-lahenduste rakendamine (nutikad pardaarvutid, e-veoselehed, navigeerimine ehk sõitmine koordinaatide järgi) ja võime sooritada töövõtteid ohutult, turvaliselt ning ergonoomiliselt. "
text331,Metsaveo ja puiduhakkuri veokijuhtidel on probleemiks kitsal metsateel tagurdamine ja väiksemate remonttööde tegemine.
text332,"Puitkonstruktsioonide püstitajate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on projektdokumentatsiooni lugemise oskus, elementide õigesse konstruktsiooni lõikamise oskus CNC töötlemiskeskusel ning tööriistade-seadmete kasutamise, hooldamise ja remontimise oskus."
text333,"Puitmaja (sh käsitöö palkmaja) ehitaja või tootja kasvava tähtsusega erialasteks oskusteks ja teadmisteks on mootorsae (kettsaag) kasutamise oskus (käsitsi tootjal), projektdokumentatsiooni lugemise oskus ning tööriistade-seadmete kasutamise, hooldamise ja remontimise oskus. "
text334,"Liinioperaatorite kasvava tähtsusega erialasteks oskusteks ja teadmisteks on masinate ja liinide tööpõhimõtete ning tehnoloogiate tundmine, programmide kasutamine, tootmisliinide tootlikkuse tõhustamine, puitmaterjali tundmine."
text335,"Arboristi kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tööohutus ja -turvalisus, ökoloogia ja diagnostika, töötamine tõstukitelt ja tööplatvormidelt , võsa- ja kettsaega töötamine ja saele esmase hoolduse tegemine. Suureneb nutiseadmete ja IKT-lahenduste kasutamine."
text336,"Puudu jääb puu bioloogiaga arvestamisest puude hooldusel, teadmistest lõikuse spetsiifilistest viisidest, suurte puude ümberistutamisest, puude sanitaarse seisundi määramisest (mädanike ja nende leviku ulatuse määramine tomograafiga)  kahjurputukate tundmisest."
text337,"Arboristi kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tööohutus ja -turvalisus, ökoloogia ja diagnostika, töötamine tõstukitelt ja tööplatvormidelt , võsa- ja kettsaega töötamine ja saele esmase hoolduse tegemine. Suureneb nutiseadmete ja IKT-lahenduste kasutamine."
text338,"Raietöölise kasvava tähtsusega erialasteks oskusteks on võsa- ja kettsae kasutamine ning hooldamine, tööohutus ja -turvalisus, sh töö- ja turvavahendite kasutamine ning ergonoomiliste töövõtete kasutamine."
text339,"Harvesterioperaatori kasvava tähtsusega erialasteks oskusteks on võime iseseisvalt valida langetatavad puud, oskus harvesteriga ergonoomiliselt sõita, kalibreerida harvesteri mõõtmissüsteeme, tunda puidurikkeid, ohjata tarka masinat, teha masina igapäevast hooldust, kasutada võsagiljotiini (bioenergeetika seade) ning sooritada töövõtteid ohutult ja turvaliselt."
text340,"Harvesterioperaatoritel jääb puudu elektriskeemi lugemise oskustest juhtmekatkestuste välja selgitamiseks, sortimentide ja puidurikete tundmisest, kalibreerimise ja järkamisfaili koostamise oskusest, väiksemate remonttööde tegemiseks masina mehhaanika tundmisest ja rikete tuvastamise oskusest, IKT-lahenduste (eriti vanema põlvkonna töötajatel) ning efektiivsete ja ergonoomiliste töövõtete rakendamisest."
text341,"Forvarderioperaatori kasvava tähtsusega erialasteks oskusteks on oskus forvarderiga ergonoomiliselt sõita ja töötada hüdrotõstukiga, hinnata laaditud ja ladustatud puidu kogust ning tunda puidurikkeid, vedada bioenergeetika toorainet, mis on veidi erinev tavapärasest ümarpuidu kokkuveost, hooldada masinat igapäevaselt ning sooritada töövõtteid ohutult ja turvaliselt."
text342,"Tootmisseadmete tehnikute kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tootmismasinate, -protsesside, -automaatika, -süsteemide, -liinide ja robotite seadistamine, töös hoidmine, hooldamine ja programmeerimine, lõikeriistade teritustehnoloogiate tundmine, elektrivoolu jooniste lugemise oskus, erialaste IKT-lahenduste kasutamine, sh programmide ja masinatega seotud patenditud seadmete kasutamise reeglite tundmine."
text343,"Tootmisseadmete tehnikutel jääb puudu tootmismasinate ja -liinide seadistamise, töös hoidmise, hoolduse ja programmeerimise oskusest ning tööohutuse ja töötervishoiu ning isikukaitsevahendite kasutamise reeglite järgimisest."
text344,"Puitkonstruktsioonide püstitajate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on projektdokumentatsiooni lugemise oskus, elementide õigesse konstruktsiooni lõikamise oskus CNC töötlemiskeskusel ning tööriistade-seadmete kasutamise, hooldamise ja remontimise oskus."
text345,"Puitmaja (sh käsitöö palkmaja) ehitaja või tootja kasvava tähtsusega erialasteks oskusteks ja teadmisteks on mootorsae (kettsaag) kasutamise oskus (käsitsi tootjal), projektdokumentatsiooni lugemise oskus ning tööriistade-seadmete kasutamise, hooldamise ja remontimise oskus. "
text346,"Puidupingioperaatori kasvava tähtsusega erialasteks oskusteks ja teadmisteks on puidutöötlemispinkide ja -seadmete ehituse ning tööpõhimõtete tundmine (sh CNC töötlemiskeskused), detailide lõiketöötlemise režiimide ning kasutatavate puit- ja puidupõhiste materjalide ning toodete omaduste ja kvaliteedi tundmine, tööjoonisete lugemise  ja materjalide ökonoomse kasutamise oskus. "
text347,"Liinioperaatorite kasvava tähtsusega erialasteks oskusteks ja teadmisteks on masinate ja liinide tööpõhimõtete ning tehnoloogiate tundmine, programmide kasutamine, tootmisliinide tootlikkuse tõhustamine, puitmaterjali tundmine."
text348,"Puudu jääb puu bioloogiaga arvestamisest puude hooldusel, teadmistest lõikuse spetsiifilistest viisidest, suurte puude ümberistutamisest, puude sanitaarse seisundi määramisest (mädanike ja nende leviku ulatuse määramine tomograafiga)  kahjurputukate tundmisest."
text349,"Raietöölistel jääb puudu noore metsa kasvamise ja kasvatamise teadmistest, ergonoomiliste töövõtete kasutamisest võsasaega töötamisel ja töö kvaliteedi hindamise oskusest."
text350,"Raietöölise kasvava tähtsusega erialasteks oskusteks on võsa- ja kettsae kasutamine ning hooldamine, tööohutus ja -turvalisus, sh töö- ja turvavahendite kasutamine ning ergonoomiliste töövõtete kasutamine."
text351,"Raietöölistel jääb puudu noore metsa kasvamise ja kasvatamise teadmistest, ergonoomiliste töövõtete kasutamisest võsasaega töötamisel ja töö kvaliteedi hindamise oskusest."
text352,Üheks peamiseks arendamist vajavaks oskuseks on efektiivsete ja ergonoomiliste töövõtete rakendamine.
text353,"Harvesterioperaatoritel jääb puudu elektriskeemi lugemise oskustest juhtmekatkestuste välja selgitamiseks, sortimentide ja puidurikete tundmisest, kalibreerimise ja järkamisfaili koostamise oskusest, väiksemate remonttööde tegemiseks masina mehhaanika tundmisest ja rikete tuvastamise oskusest, IKT-lahenduste (eriti vanema põlvkonna töötajatel) ning efektiivsete ja ergonoomiliste töövõtete rakendamisest."
text354,Kasvavaks oskuseks on ka efektiivsete ja ergonoomiliste töövõtete omamise oskus.
text355,"Forvarderioperaatoritel jääb puudu elektriskeemi lugemise oskustest juhtmekatkestuste välja selgitamiseks, sortimentide ja puidurikete tundmisest, koormasse laaditud puidu mahu hindamise ja virnatäiuse koefitsiendi määramise oskusest ning väiksemate remonttööde tegemiseks masina mehhaanika tundmisest, aga ka efektiivsete ja ergonoomiliste töövõtete ning IKT-lahenduste rakendamisest (vanema põlvkonna töötajatel)."
text356,"Metsaveo ja puiduhakkuri veokijuhtide kasvava tähtsusega oskusteks on hüdrotõstukiga töötamine, oskus tagurdada kitsal metsateel, puidu sortimentide ja puidurikete tundmine, IKT-lahenduste rakendamine (nutikad pardaarvutid, e-veoselehed, navigeerimine ehk sõitmine koordinaatide järgi) ja võime sooritada töövõtteid ohutult, turvaliselt ning ergonoomiliselt. "
text357,Ka siin on peamiseks kasvavaks oskuseks efektiivsete ja ergonoomiliste töövõtete omamise oskus.
text358,"Puudu jääb koormasse laaditud puidu mahu hindamise  ja virnatäiuse koefitsiendi määramise oskusest, puidurikete tundmisest, IKT-lahenduste (nutikad pardaarvutid, e-veoselehed, navigeerimine ehk oskus sõita koordinaatide järgi)  ning efektiivsete ja ergonoomiliste töövõtete rakendamisest."
text359,"Raietöölistel jääb puudu noore metsa kasvamise ja kasvatamise teadmistest, ergonoomiliste töövõtete kasutamisest võsasaega töötamisel ja töö kvaliteedi hindamise oskusest."
text360,"Ta töötab meeskonna liikmena, jälgib tööprotsessist kinnipidamist, tootlikkust, hoiab toodangu kvaliteeti ning järgib töö- ja keskkonnaohutuse nõudeid."
text361,"Harvesterioperaatori kasvava tähtsusega erialasteks oskusteks on võime iseseisvalt valida langetatavad puud, oskus harvesteriga ergonoomiliselt sõita, kalibreerida harvesteri mõõtmissüsteeme, tunda puidurikkeid, ohjata tarka masinat, teha masina igapäevast hooldust, kasutada võsagiljotiini (bioenergeetika seade) ning sooritada töövõtteid ohutult ja turvaliselt."
text362,"Kuigi vaja läheb lihtsamate remonttööde tegemise oskust, on masinate remontimine tulevikus tõenäoliselt eraldi amet, mis tähendab, et masinaoperaatoritel selle oskuse järele vajadus väheneb."
text363,"Kuigi vaja läheb lihtsamate remonttööde tegemise oskust, on masinate remontimine tulevikus tõenäoliselt eraldi amet, mis tähendab, et masinaoperaatoritel selle oskuse järele vajadus väheneb."
text364,"Kuigi vaja läheb lihtsamate remonttööde tegemise oskust, on masinate remontimine eraldi amet, mis tähendab, et autojuhid ei pea sellega ise nii palju tegelema."
text365,Metsaveo ja puiduhakkuri veokijuhtidel on probleemiks kitsal metsateel tagurdamine ja väiksemate remonttööde tegemine.
text366,"Puitkonstruktsioonide püstitajate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on projektdokumentatsiooni lugemise oskus, elementide õigesse konstruktsiooni lõikamise oskus CNC töötlemiskeskusel ning tööriistade-seadmete kasutamise, hooldamise ja remontimise oskus."
text367,"Puitmaja (sh käsitöö palkmaja) ehitaja või tootja kasvava tähtsusega erialasteks oskusteks ja teadmisteks on mootorsae (kettsaag) kasutamise oskus (käsitsi tootjal), projektdokumentatsiooni lugemise oskus ning tööriistade-seadmete kasutamise, hooldamise ja remontimise oskus. "
text368,Samas kasvab vajadus osata harvesteri rikkeid tuvastada.
text369,"Harvesterioperaatoritel jääb puudu elektriskeemi lugemise oskustest juhtmekatkestuste välja selgitamiseks, sortimentide ja puidurikete tundmisest, kalibreerimise ja järkamisfaili koostamise oskusest, väiksemate remonttööde tegemiseks masina mehhaanika tundmisest ja rikete tuvastamise oskusest, IKT-lahenduste (eriti vanema põlvkonna töötajatel) ning efektiivsete ja ergonoomiliste töövõtete rakendamisest."
text370,Samas kasvab vajadus osata forvarderi rikkeid tuvastada.
text371,"Harvesterioperaatoritel jääb puudu elektriskeemi lugemise oskustest juhtmekatkestuste välja selgitamiseks, sortimentide ja puidurikete tundmisest, kalibreerimise ja järkamisfaili koostamise oskusest, väiksemate remonttööde tegemiseks masina mehhaanika tundmisest ja rikete tuvastamise oskusest, IKT-lahenduste (eriti vanema põlvkonna töötajatel) ning efektiivsete ja ergonoomiliste töövõtete rakendamisest."
text372,"Forvarderioperaatoritel jääb puudu elektriskeemi lugemise oskustest juhtmekatkestuste välja selgitamiseks, sortimentide ja puidurikete tundmisest, koormasse laaditud puidu mahu hindamise ja virnatäiuse koefitsiendi määramise oskusest ning väiksemate remonttööde tegemiseks masina mehhaanika tundmisest, aga ka efektiivsete ja ergonoomiliste töövõtete ning IKT-lahenduste rakendamisest (vanema põlvkonna töötajatel)."
text373,"Puitkonstruktsioonide projekteerijate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on toodete, sh puitmajade projekteerimise eripärade tundmine, puitmaterjali eripärade ja materjalitehnoloogia tundmine, tööprotsesside tundmine, jooniste koostamine ja konstrueerimine, jooniste lugemise oskus nii käsitsi kui arvutil, CNC töötlemiskeskustele programmide koostamine, toodete projekteerimine, joonestamise ja projekteerimistarkvaraga töötamine, sh targa tellija kompetents – milline tarkvara, milliseks lahenduseks ja milliste tingimustega sobib, millised kulutused on efektiivsed  ning millist infot süsteemist koguda tasub."
text374,"Olulised on teadmised tugevusarvutustest ja matemaatikast, mehhanismidest, tööstustehnoloogiast, erialastest IKT-lahendustest — raalprojekteerimise ja muu tarkvara, sh majandustarkvara kasutamise oskus, CNC töötlemiskeskustele programmide koostamine ja targa tellija kompetents ehk teadmised selle kohta, milline tarkvara, milliseks lahenduseks ja milliste tingimustega sobib, samuti millised kulutused on efektiivsed ning millist infot süsteemist koguda tasub."
text375,"Tehnoloogi, sh mööblitoodete tehnoloogi kasvava tähtsusega erialasteks oskusteks ja teadmisteks on oma valdkonna toodete tootearenduse tehniliste eripärade tundmine, puitmaterjali eripärade ja materjalitehnoloogia tundmine, tööprotsesside tundmine, jooniste koostamine ja konstrueerimine, jooniste lugemise oskus nii käsitsi kui arvutil  ning joonestamise ja projekteerimistarkvaraga töötamine."
text376,"Tehnik-joonestajate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on toodete, sh puitmajade projekteerimise eripärade tundmine, puitmaterjali eripärade ja materjalitehnoloogia tundmine, tööprotsesside tundmine, jooniste koostamine ja konstrueerimine, jooniste lugemise oskus (nii käsitsi kui arvutil joonistatud ) ning joonestamise ja projekteerimistarkvaraga töötamine."
text377,Puudu jääb jooniste koostamise ja konstrueerimise  ning joonestamise ja projekteerimistarkvaraga töötamise oskusest.
text378,"Tootmisseadmete tehnikute kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tootmismasinate, -protsesside, -automaatika, -süsteemide, -liinide ja robotite seadistamine, töös hoidmine, hooldamine ja programmeerimine, lõikeriistade teritustehnoloogiate tundmine, elektrivoolu jooniste lugemise oskus, erialaste IKT-lahenduste kasutamine, sh programmide ja masinatega seotud patenditud seadmete kasutamise reeglite tundmine."
text379,"Tislerite kasvava tähtsusega erialasteks oskusteks ja teadmisteks on jooniste ja tehnoloogiakaardi lugemise ning koostamise oskus, detailidele ja toodetele esitatavate kvaliteedinõuete tundmine ning materjalide tundmine."
text380,Tisleritel on puudu jooniste ja tehnoloogiakaardi lugemise ning koostamise oskusest ja teadmistest detailidele ja toodetele esitatavatest kvaliteedinõuetest.
text381,"Üldistest teadmistest, oskustest ja hoiakutest jätavad soovida kohuse ja vastutustunne ja erialaste IKT-lahenduste kasutamine  –programmide kirjutamise oskus  (programmeerimine), teadmised matemaatikast, läbirääkimiste oskus ja ettevõtlikkus."
text382,"Puidupingioperaatori kasvava tähtsusega erialasteks oskusteks ja teadmisteks on puidutöötlemispinkide ja -seadmete ehituse ning tööpõhimõtete tundmine (sh CNC töötlemiskeskused), detailide lõiketöötlemise režiimide ning kasutatavate puit- ja puidupõhiste materjalide ning toodete omaduste ja kvaliteedi tundmine, tööjoonisete lugemise  ja materjalide ökonoomse kasutamise oskus. "
text383,"Forvarderioperaatori kasvava tähtsusega erialasteks oskusteks on oskus forvarderiga ergonoomiliselt sõita ja töötada hüdrotõstukiga, hinnata laaditud ja ladustatud puidu kogust ning tunda puidurikkeid, vedada bioenergeetika toorainet, mis on veidi erinev tavapärasest ümarpuidu kokkuveost, hooldada masinat igapäevaselt ning sooritada töövõtteid ohutult ja turvaliselt."
